2021-12-27 21:41:06,748 - Start print log
2021-12-27 21:41:11,446 - policy
2021-12-27 21:41:11,452 - None
2021-12-27 21:41:11,452 - value
2021-12-27 21:41:11,454 - None
2021-12-27 21:41:11,454 - discriminator
2021-12-27 21:41:11,458 - None
2021-12-27 21:41:11,565 - batch_size 4096
2021-12-27 21:41:11,565 - stage: gail, agents num 2
2021-12-27 21:41:59,181 - St: gail, Ep: 551, Rew: 191.9708, ag_num: 2, time: 120.2286, final: 125.7635, pol_l: 0.0059, kl: 0.0, val_l: 1.6273, ag_rew: 0.4431, ex_rew: 1.7002, dis_l: 0.8985
2021-12-27 21:42:32,108 - St: gail, Ep: 552, Rew: 143.6614, ag_num: 2, time: 198.4054, final: 162.9269, pol_l: 0.0073, kl: -0.0, val_l: 1.9458, ag_rew: 0.4124, ex_rew: 1.7615, dis_l: 0.8591
2021-12-27 21:43:03,022 - St: gail, Ep: 553, Rew: 126.7039, ag_num: 2, time: 170.0769, final: 147.2687, pol_l: 0.0051, kl: 0.0, val_l: 2.0692, ag_rew: 0.4336, ex_rew: 1.7747, dis_l: 0.8561
2021-12-27 21:43:03,022 - stage gail, checkpoints establish, episode 553
2021-12-27 21:43:34,105 - St: gail, Ep: 554, Rew: 112.6312, ag_num: 2, time: 134.3864, final: 114.6253, pol_l: 0.0026, kl: -0.0, val_l: 2.349, ag_rew: 0.4337, ex_rew: 1.7741, dis_l: 0.8645
2021-12-27 21:44:04,814 - St: gail, Ep: 555, Rew: 177.5074, ag_num: 2, time: 201.1562, final: 182.4491, pol_l: 0.0026, kl: -0.0, val_l: 2.3022, ag_rew: 0.3942, ex_rew: 1.8252, dis_l: 0.8085
2021-12-27 21:44:35,949 - St: gail, Ep: 556, Rew: 151.3184, ag_num: 2, time: 172.1515, final: 158.9692, pol_l: 0.0024, kl: -0.0, val_l: 2.0293, ag_rew: 0.3725, ex_rew: 1.9025, dis_l: 0.7603
2021-12-27 21:44:35,949 - stage gail, checkpoints establish, episode 556
2021-12-27 21:45:13,950 - St: gail, Ep: 557, Rew: 167.6807, ag_num: 2, time: 205.2581, final: 150.9854, pol_l: 0.0044, kl: -0.0, val_l: 1.7062, ag_rew: 0.3891, ex_rew: 1.893, dis_l: 0.7943
2021-12-27 21:45:47,178 - St: gail, Ep: 558, Rew: 133.6511, ag_num: 2, time: 166.1395, final: 143.9943, pol_l: 0.001, kl: -0.0, val_l: 3.3236, ag_rew: 0.3802, ex_rew: 1.9878, dis_l: 0.7633
2021-12-27 21:46:19,741 - St: gail, Ep: 559, Rew: 119.4745, ag_num: 2, time: 149.0, final: 138.8572, pol_l: 0.0009, kl: -0.0, val_l: 3.0271, ag_rew: 0.3574, ex_rew: 2.0026, dis_l: 0.7235
